date_sign_up,customer_id,product_name,marketing_channel,City
4/13/18 11:00,216146,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Chicago
4/13/18 11:21,216171,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Chicago
4/13/18 11:43,216213,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Chicago
4/13/18 11:46,216218,Classic - 3 meals per week for 2 people,Partnership Marketing,Chicago
4/13/18 11:52,216226,Classic - 3 meals per week for 2 people,Search Engine Marketing,Chicago
4/13/18 12:38,216327,Classic - 3 meals per week for 2 people,Search Engine Marketing,Chicago
4/13/18 12:40,216331,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Chicago
4/13/18 13:11,216401,Classic - 3 meals per week for 2 people,Search Engine Marketing,Chicago
4/13/18 13:17,216422,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/18 13:30,216453,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/18 13:34,216463,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/18 13:39,216466,Classic - 3 meals per week for 2 people,Partnership Marketing,Chicago
4/13/18 13:44,216479,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/18 14:12,216487,Classic - 3 meals per week for 2 people,Newsletters (internal),Chicago
4/13/18 13:56,216509,Classic - 3 meals per week for 2 people,Partnership Marketing,Chicago
4/13/18 14:21,216561,Classic - 3 meals per week for 2 people,Search Engine Marketing,Washington
4/13/18 14:23,216563,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/18 14:33,216587,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/18 14:50,216617,3 Meals (vegetarian) for 4 people,Newsletters (internal),Washington
4/13/18 15:38,216669,Classic - 3 meals per week for 4 people,Newsletters (internal),Washington
4/13/18 15:35,216702,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/18 15:35,216703,Classic - 3 meals per week for 2 people,Search Engine Marketing,Washington
4/13/18 15:40,216709,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/18 15:42,216712,3 Meals (vegetarian) for 2 people,Newsletters (internal),Washington
4/13/18 15:45,216718,Classic - 3 meals per week for 2 people,Search Engine Marketing,Washington
4/13/18 15:46,216721,3 Meals (vegetarian) for 2 people,Newsletters (internal),Washington
4/13/18 15:52,216734,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/18 15:53,216735,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/18 16:17,216782,3 Meals (vegetarian) for 2 people,TV / Radio Advertising,Washington
4/13/18 16:53,216799,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/18 16:36,216808,Classic - 3 meals per week for 2 people,Partnership Marketing,Washington
4/13/18 16:57,216833,Classic - 3 meals per week for 2 people,Search Engine Marketing,Washington
4/13/18 17:02,216850,Classic - 3 meals per week for 2 people,Partnership Marketing,Washington
4/13/18 17:14,216853,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/18 17:05,216858,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/18 17:36,216897,3 Meals (vegetarian) for 2 people,Search Engine Marketing,Washington
4/13/18 17:44,216922,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/18 17:46,216938,Classic - 3 meals per week for 4 people,TV / Radio Advertising,Washington
4/13/18 18:08,216946,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/18 17:56,216949,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/18 17:58,216960,Classic - 3 meals per week for 4 people,Partnership Marketing,Washington
4/13/18 17:59,216962,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/18 18:14,216977,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/18 18:31,217010,Classic - 3 meals per week for 4 people,Newsletters (internal),Washington
4/13/18 18:27,217020,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/18 18:53,217076,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/18 18:56,217081,3 Meals (vegetarian) for 2 people,Newsletters (internal),Washington
4/13/18 19:17,217111,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/18 19:33,217134,3 Meals (vegetarian) for 4 people,Search Engine Marketing,Washington
4/13/18 19:44,217141,3 Meals (vegetarian) for 2 people,TV / Radio Advertising,Washington
4/13/18 20:03,217145,Classic - 3 meals per week for 2 people,Search Engine Marketing,Washington
4/13/18 19:47,217153,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/18 19:48,217157,Classic - 3 meals per week for 4 people,Newsletters (internal),Washington
4/13/18 19:49,217161,3 Meals (vegetarian) for 2 people,Newsletters (internal),Washington
4/15/18 13:26,217179,Classic - 3 meals per week for 2 people,Newsletters (internal),Philadelphia
4/13/18 20:06,217186,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/18 20:21,217211,Classic - 3 meals per week for 2 people,Search Engine Marketing,Washington
4/13/18 20:41,217219,Classic - 3 meals per week for 4 people,Search Engine Marketing,Washington
4/13/18 20:36,217233,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Washington
4/13/18 21:15,217264,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/18 21:34,217282,Classic - 3 meals per week for 2 people,Newsletters (internal),Washington
4/13/18 21:37,217286,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/13/18 22:43,217319,3 Meals (vegetarian) for 2 people,Partnership Marketing,Los Angeles
4/14/18 03:16,217365,Classic - 3 meals per week for 4 people,Search Engine Marketing,Los Angeles
4/14/18 04:15,217380,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/18 06:04,217455,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/18 06:16,217460,3 Meals (vegetarian) for 2 people,Newsletters (internal),Los Angeles
4/14/18 06:23,217477,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/18 07:10,217539,Classic - 3 meals per week for 4 people,TV / Radio Advertising,Los Angeles
4/14/18 07:34,217566,3 Meals (vegetarian) for 2 people,Newsletters (internal),Los Angeles
4/14/18 07:25,217572,3 Meals (vegetarian) for 2 people,Newsletters (internal),Los Angeles
4/14/18 08:01,217631,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/18 08:09,217652,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/18 08:12,217658,Classic - 3 meals per week for 2 people,Partnership Marketing,Los Angeles
4/14/18 08:31,217690,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 08:45,217717,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 08:51,217730,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 08:55,217735,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/16/18 11:49,217739,Classic - 3 meals per week for 4 people,Newsletters (internal),San Diego
4/14/18 08:57,217749,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 09:03,217758,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 09:56,217776,3 Meals (vegetarian) for 2 people,Partnership Marketing,Los Angeles
4/14/18 09:13,217778,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/17/18 09:39,217784,Classic - 3 meals per week for 4 people,Newsletters (internal),San Diego
4/14/18 09:20,217787,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 09:16,217788,3 Meals (vegetarian) for 2 people,Newsletters (internal),Los Angeles
4/14/18 11:42,217792,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 09:19,217800,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 09:19,217801,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 09:25,217802,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 09:23,217815,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 09:29,217818,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/18 09:26,217822,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/18 10:02,217887,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 09:57,217890,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/14/18 09:56,217893,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 09:58,217897,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/18 10:17,217940,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:23,217941,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:22,217945,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:20,217950,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:21,217962,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:22,217967,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:26,217973,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:32,217982,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:30,217983,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:30,217990,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/18 10:32,218000,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:37,218011,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/18 10:37,218012,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:40,218014,3 Meals (vegetarian) for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:40,218015,3 Meals (vegetarian) for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:47,218022,Classic - 3 meals per week for 2 people,Search Engine Marketing,Los Angeles
4/14/18 10:41,218025,3 Meals (vegetarian) for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:46,218030,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:48,218033,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:46,218038,3 Meals (vegetarian) for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:50,218041,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:53,218045,Classic - 3 meals per week for 4 people,Newsletters (internal),Los Angeles
4/14/18 10:49,218046,Classic - 3 meals per week for 2 people,TV / Radio Advertising,Los Angeles
4/14/18 10:50,218048,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:52,218050,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:54,218054,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
4/14/18 10:56,218055,Classic - 3 meals per week for 2 people,Newsletters (internal),Los Angeles
